SOC Group,Domain,Keywords
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,"teamwork, collaboration, relationship, partnership, network, trust, coordination, shared goals, communication, support"
Food Preparation and Serving Related Occupations,Outcomes & Impact,"impact, result, deliverable, transformation, metric, value, evidence of change, ROI, growth, effectiveness"
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,"workflow, process, infrastructure, architecture, governance, standards, interoperability, system design, platform, protocol"
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,"resilience, agility, change, pivot, adapt, flexibility, iteration, response, readiness, navigation"
Personal Care and Service Occupations,Equity & Inclusion,"equity, diversity, inclusion, access, justice, representation, fairness, belonging, accessibility, anti-bias"
Personal Care and Service Occupations,Presence & Identity,"presence, voice, visibility, identity, stance, authenticity, reputation, persona, recognition, name"
Personal Care and Service Occupations,Collaboration & Relational Work,"teamwork, collaboration, relationship, partnership, network, trust, coordination, shared goals, communication, support"
Sales and Related Occupations,Communication Strategy,"signal, transmit, encode, resonance, map, message, tone, framing, narrative, audience"
Sales and Related Occupations,Outcomes & Impact,"impact, result, deliverable, transformation, metric, value, evidence of change, ROI, growth, effectiveness"
Sales and Related Occupations,Presence & Identity,"presence, voice, visibility, identity, stance, authenticity, reputation, persona, recognition, name"
Office and Administrative Support Occupations,Systems & Structure,"workflow, process, infrastructure, architecture, governance, standards, interoperability, system design, platform, protocol"
Office and Administrative Support Occupations,Communication Strategy,"signal, transmit, encode, resonance, map, message, tone, framing, narrative, audience"
Office and Administrative Support Occupations,Risk & Compliance,"risk, compliance, regulation, audit, policy, safety, liability, control, protocol, ethics"
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,"resilience, agility, change, pivot, adapt, flexibility, iteration, response, readiness, navigation"
"Farming, Fishing, and Forestry Occupations",Systems & Structure,"workflow, process, infrastructure, architecture, governance, standards, interoperability, system design, platform, protocol"
Construction and Extraction Occupations,Systems & Structure,"workflow, process, infrastructure, architecture, governance, standards, interoperability, system design, platform, protocol"
Construction and Extraction Occupations,Outcomes & Impact,"impact, result, deliverable, transformation, metric, value, evidence of change, ROI, growth, effectiveness"
Construction and Extraction Occupations,Adaptation & Flexibility,"resilience, agility, change, pivot, adapt, flexibility, iteration, response, readiness, navigation"
"Installation, Maintenance, and Repair Occupations",AI & Technical Literacy,"AI, machine learning, automation, digital fluency, tools, algorithms, prompting, data modeling, tech stack, interface"
"Installation, Maintenance, and Repair Occupations",Systems & Structure,"workflow, process, infrastructure, architecture, governance, standards, interoperability, system design, platform, protocol"
"Installation, Maintenance, and Repair Occupations",Outcomes & Impact,"impact, result, deliverable, transformation, metric, value, evidence of change, ROI, growth, effectiveness"
Production Occupations,Outcomes & Impact,"impact, result, deliverable, transformation, metric, value, evidence of change, ROI, growth, effectiveness"
Production Occupations,Systems & Structure,"workflow, process, infrastructure, architecture, governance, standards, interoperability, system design, platform, protocol"
Transportation and Material Moving Occupations,Adaptation & Flexibility,"resilience, agility, change, pivot, adapt, flexibility, iteration, response, readiness, navigation"
Transportation and Material Moving Occupations,Systems & Structure,"workflow, process, infrastructure, architecture, governance, standards, interoperability, system design, platform, protocol"
Community and Social Service Occupations,Equity & Inclusion,"equity, diversity, inclusion, access, justice, representation, fairness, belonging, accessibility, anti-bias"
Community and Social Service Occupations,Presence & Identity,"presence, voice, visibility, identity, stance, authenticity, reputation, persona, recognition, name"
Community and Social Service Occupations,Collaboration & Relational Work,"teamwork, collaboration, relationship, partnership, network, trust, coordination, shared goals, communication, support"
Military Specific Occupations,Leadership & Influence,"leadership, coaching, influence, vision, strategy, mentorship, decision-making, initiative, credibility, alignment"
Military Specific Occupations,Risk & Compliance,"risk, compliance, regulation, audit, policy, safety, liability, control, protocol, ethics"
Military Specific Occupations,Adaptation & Flexibility,"resilience, agility, change, pivot, adapt, flexibility, iteration, response, readiness, navigation"
