SOC Group,Domain,Keyword Phrase
Architecture and Engineering Occupations,Outcomes & Impact,ROI
Architecture and Engineering Occupations,Outcomes & Impact,growth
Architecture and Engineering Occupations,Outcomes & Impact,effectiveness
Architecture and Engineering Occupations,AI & Technical Literacy,AI
Architecture and Engineering Occupations,AI & Technical Literacy,machine learning
Architecture and Engineering Occupations,AI & Technical Literacy,automation
Architecture and Engineering Occupations,AI & Technical Literacy,digital fluency
Architecture and Engineering Occupations,AI & Technical Literacy,tools
Architecture and Engineering Occupations,AI & Technical Literacy,algorithms
Architecture and Engineering Occupations,AI & Technical Literacy,prompting
Architecture and Engineering Occupations,AI & Technical Literacy,data modeling
Architecture and Engineering Occupations,AI & Technical Literacy,tech stack
Architecture and Engineering Occupations,AI & Technical Literacy,interface
"Life, Physical, and Social Science Occupations",Data & Evidence,data
"Life, Physical, and Social Science Occupations",Data & Evidence,evidence
"Life, Physical, and Social Science Occupations",Data & Evidence,research
"Life, Physical, and Social Science Occupations",Data & Evidence,evaluation
"Life, Physical, and Social Science Occupations",Data & Evidence,insight
"Life, Physical, and Social Science Occupations",Data & Evidence,measurement
"Life, Physical, and Social Science Occupations",Data & Evidence,analytics
"Life, Physical, and Social Science Occupations",Data & Evidence,observation
"Life, Physical, and Social Science Occupations",Data & Evidence,indicators
"Life, Physical, and Social Science Occupations",Data & Evidence,outcomes
"Life, Physical, and Social Science Occupations",Learning & Instruction,curriculum
"Life, Physical, and Social Science Occupations",Learning & Instruction,teaching
"Life, Physical, and Social Science Occupations",Learning & Instruction,instructional design
"Life, Physical, and Social Science Occupations",Learning & Instruction,scaffold
"Life, Physical, and Social Science Occupations",Learning & Instruction,assessment
"Life, Physical, and Social Science Occupations",Learning & Instruction,learning outcomes
"Life, Physical, and Social Science Occupations",Learning & Instruction,pedagogy
"Life, Physical, and Social Science Occupations",Learning & Instruction,competency
"Life, Physical, and Social Science Occupations",Learning & Instruction,formative
"Life, Physical, and Social Science Occupations",Learning & Instruction,engagement
"Life, Physical, and Social Science Occupations",Equity & Inclusion,equity
"Life, Physical, and Social Science Occupations",Equity & Inclusion,diversity
"Life, Physical, and Social Science Occupations",Equity & Inclusion,inclusion
"Life, Physical, and Social Science Occupations",Equity & Inclusion,access
"Life, Physical, and Social Science Occupations",Equity & Inclusion,justice
"Life, Physical, and Social Science Occupations",Equity & Inclusion,representation
"Life, Physical, and Social Science Occupations",Equity & Inclusion,fairness
"Life, Physical, and Social Science Occupations",Equity & Inclusion,belonging
"Life, Physical, and Social Science Occupations",Equity & Inclusion,accessibility
"Life, Physical, and Social Science Occupations",Equity & Inclusion,anti-bias
Legal Occupations,Risk & Compliance,risk
Legal Occupations,Risk & Compliance,compliance
Legal Occupations,Risk & Compliance,regulation
Legal Occupations,Risk & Compliance,audit
Legal Occupations,Risk & Compliance,policy
Legal Occupations,Risk & Compliance,safety
Legal Occupations,Risk & Compliance,liability
Legal Occupations,Risk & Compliance,control
Legal Occupations,Risk & Compliance,protocol
Legal Occupations,Risk & Compliance,ethics
Legal Occupations,Communication Strategy,signal
Legal Occupations,Communication Strategy,transmit
Legal Occupations,Communication Strategy,encode
Legal Occupations,Communication Strategy,resonance
Legal Occupations,Communication Strategy,map
Legal Occupations,Communication Strategy,message
Legal Occupations,Communication Strategy,tone
Legal Occupations,Communication Strategy,framing
Legal Occupations,Communication Strategy,narrative
Legal Occupations,Communication Strategy,audience
Legal Occupations,Leadership & Influence,leadership
Legal Occupations,Leadership & Influence,coaching
Legal Occupations,Leadership & Influence,influence
Legal Occupations,Leadership & Influence,vision
Legal Occupations,Leadership & Influence,strategy
Legal Occupations,Leadership & Influence,mentorship
Legal Occupations,Leadership & Influence,decision-making
Legal Occupations,Leadership & Influence,initiative
Legal Occupations,Leadership & Influence,credibility
Legal Occupations,Leadership & Influence,alignment
"Education, Training, and Library Occupations",Learning & Instruction,curriculum
"Education, Training, and Library Occupations",Learning & Instruction,teaching
"Education, Training, and Library Occupations",Learning & Instruction,instructional design
"Education, Training, and Library Occupations",Learning & Instruction,scaffold
"Education, Training, and Library Occupations",Learning & Instruction,assessment
"Education, Training, and Library Occupations",Learning & Instruction,learning outcomes
"Education, Training, and Library Occupations",Learning & Instruction,pedagogy
"Education, Training, and Library Occupations",Learning & Instruction,competency
"Education, Training, and Library Occupations",Learning & Instruction,formative
"Education, Training, and Library Occupations",Learning & Instruction,engagement
"Education, Training, and Library Occupations",Communication Strategy,signal
"Education, Training, and Library Occupations",Communication Strategy,transmit
"Education, Training, and Library Occupations",Communication Strategy,encode
"Education, Training, and Library Occupations",Communication Strategy,resonance
"Education, Training, and Library Occupations",Communication Strategy,map
"Education, Training, and Library Occupations",Communication Strategy,message
"Education, Training, and Library Occupations",Communication Strategy,tone
"Education, Training, and Library Occupations",Communication Strategy,framing
"Education, Training, and Library Occupations",Communication Strategy,narrative
"Education, Training, and Library Occupations",Communication Strategy,audience
"Education, Training, and Library Occupations",Equity & Inclusion,equity
"Education, Training, and Library Occupations",Equity & Inclusion,diversity
"Education, Training, and Library Occupations",Equity & Inclusion,inclusion
"Education, Training, and Library Occupations",Equity & Inclusion,access
"Education, Training, and Library Occupations",Equity & Inclusion,justice
"Education, Training, and Library Occupations",Equity & Inclusion,representation
"Education, Training, and Library Occupations",Equity & Inclusion,fairness
"Education, Training, and Library Occupations",Equity & Inclusion,belonging
"Education, Training, and Library Occupations",Equity & Inclusion,accessibility
"Education, Training, and Library Occupations",Equity & Inclusion,anti-bias
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,impact
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,result
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,deliverable
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,transformation
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,metric
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,value
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,evidence of change
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,ROI
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,growth
Healthcare Practitioners and Technical Occupations,Outcomes & Impact,effectiveness
Healthcare Practitioners and Technical Occupations,Risk & Compliance,risk
Healthcare Practitioners and Technical Occupations,Risk & Compliance,compliance
Healthcare Practitioners and Technical Occupations,Risk & Compliance,regulation
Healthcare Practitioners and Technical Occupations,Risk & Compliance,audit
Healthcare Practitioners and Technical Occupations,Risk & Compliance,policy
Healthcare Practitioners and Technical Occupations,Risk & Compliance,safety
Healthcare Practitioners and Technical Occupations,Risk & Compliance,liability
Healthcare Practitioners and Technical Occupations,Risk & Compliance,control
Healthcare Practitioners and Technical Occupations,Risk & Compliance,protocol
Healthcare Practitioners and Technical Occupations,Risk & Compliance,ethics
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,teamwork
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,collaboration
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,relationship
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,partnership
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,network
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,trust
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,coordination
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,shared goals
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,communication
Healthcare Practitioners and Technical Occupations,Collaboration & Relational Work,support
Healthcare Support Occupations,Equity & Inclusion,equity
Healthcare Support Occupations,Equity & Inclusion,diversity
Healthcare Support Occupations,Equity & Inclusion,inclusion
Healthcare Support Occupations,Equity & Inclusion,access
Healthcare Support Occupations,Equity & Inclusion,justice
Healthcare Support Occupations,Equity & Inclusion,representation
Healthcare Support Occupations,Equity & Inclusion,fairness
Healthcare Support Occupations,Equity & Inclusion,belonging
Healthcare Support Occupations,Equity & Inclusion,accessibility
Healthcare Support Occupations,Equity & Inclusion,anti-bias
Healthcare Support Occupations,Collaboration & Relational Work,teamwork
Healthcare Support Occupations,Collaboration & Relational Work,collaboration
Healthcare Support Occupations,Collaboration & Relational Work,relationship
Healthcare Support Occupations,Collaboration & Relational Work,partnership
Healthcare Support Occupations,Collaboration & Relational Work,network
Healthcare Support Occupations,Collaboration & Relational Work,trust
Healthcare Support Occupations,Collaboration & Relational Work,coordination
Healthcare Support Occupations,Collaboration & Relational Work,shared goals
Healthcare Support Occupations,Collaboration & Relational Work,communication
Healthcare Support Occupations,Collaboration & Relational Work,support
Healthcare Support Occupations,Adaptation & Flexibility,resilience
Healthcare Support Occupations,Adaptation & Flexibility,agility
Healthcare Support Occupations,Adaptation & Flexibility,change
Healthcare Support Occupations,Adaptation & Flexibility,pivot
Healthcare Support Occupations,Adaptation & Flexibility,adapt
Healthcare Support Occupations,Adaptation & Flexibility,flexibility
Healthcare Support Occupations,Adaptation & Flexibility,iteration
Healthcare Support Occupations,Adaptation & Flexibility,response
Healthcare Support Occupations,Adaptation & Flexibility,readiness
Healthcare Support Occupations,Adaptation & Flexibility,navigation
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,signal
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,transmit
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,encode
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,resonance
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,map
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,message
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,tone
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,framing
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,narrative
"Arts, Design, Entertainment, Sports, and Media Occupations",Communication Strategy,audience
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,presence
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,voice
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,visibility
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,identity
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,stance
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,authenticity
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,reputation
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,persona
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,recognition
"Arts, Design, Entertainment, Sports, and Media Occupations",Presence & Identity,name
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,curriculum
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,teaching
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,instructional design
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,scaffold
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,assessment
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,learning outcomes
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,pedagogy
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,competency
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,formative
"Arts, Design, Entertainment, Sports, and Media Occupations",Learning & Instruction,engagement
Protective Service Occupations,Risk & Compliance,risk
Protective Service Occupations,Risk & Compliance,compliance
Protective Service Occupations,Risk & Compliance,regulation
Protective Service Occupations,Risk & Compliance,audit
Protective Service Occupations,Risk & Compliance,policy
Protective Service Occupations,Risk & Compliance,safety
Protective Service Occupations,Risk & Compliance,liability
Protective Service Occupations,Risk & Compliance,control
Protective Service Occupations,Risk & Compliance,protocol
Protective Service Occupations,Risk & Compliance,ethics
Protective Service Occupations,Leadership & Influence,leadership
Protective Service Occupations,Leadership & Influence,coaching
Protective Service Occupations,Leadership & Influence,influence
Protective Service Occupations,Leadership & Influence,vision
Protective Service Occupations,Leadership & Influence,strategy
Protective Service Occupations,Leadership & Influence,mentorship
Protective Service Occupations,Leadership & Influence,decision-making
Protective Service Occupations,Leadership & Influence,initiative
Protective Service Occupations,Leadership & Influence,credibility
Protective Service Occupations,Leadership & Influence,alignment
Protective Service Occupations,Adaptation & Flexibility,resilience
Protective Service Occupations,Adaptation & Flexibility,agility
Protective Service Occupations,Adaptation & Flexibility,change
Protective Service Occupations,Adaptation & Flexibility,pivot
Protective Service Occupations,Adaptation & Flexibility,adapt
Protective Service Occupations,Adaptation & Flexibility,flexibility
Protective Service Occupations,Adaptation & Flexibility,iteration
Protective Service Occupations,Adaptation & Flexibility,response
Protective Service Occupations,Adaptation & Flexibility,readiness
Protective Service Occupations,Adaptation & Flexibility,navigation
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,resilience
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,agility
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,change
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,pivot
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,adapt
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,flexibility
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,iteration
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,response
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,readiness
Food Preparation and Serving Related Occupations,Adaptation & Flexibility,navigation
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,teamwork
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,collaboration
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,relationship
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,partnership
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,network
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,trust
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,coordination
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,shared goals
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,communication
Food Preparation and Serving Related Occupations,Collaboration & Relational Work,support
Food Preparation and Serving Related Occupations,Outcomes & Impact,impact
Food Preparation and Serving Related Occupations,Outcomes & Impact,result
Food Preparation and Serving Related Occupations,Outcomes & Impact,deliverable
Food Preparation and Serving Related Occupations,Outcomes & Impact,transformation
Food Preparation and Serving Related Occupations,Outcomes & Impact,metric
Food Preparation and Serving Related Occupations,Outcomes & Impact,value
Food Preparation and Serving Related Occupations,Outcomes & Impact,evidence of change
Food Preparation and Serving Related Occupations,Outcomes & Impact,ROI
Food Preparation and Serving Related Occupations,Outcomes & Impact,growth
Food Preparation and Serving Related Occupations,Outcomes & Impact,effectiveness
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,workflow
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,process
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,infrastructure
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,architecture
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,governance
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,standards
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,interoperability
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,system design
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,platform
Building and Grounds Cleaning and Maintenance Occupations,Systems & Structure,protocol
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,resilience
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,agility
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,change
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,pivot
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,adapt
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,flexibility
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,iteration
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,response
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,readiness
Building and Grounds Cleaning and Maintenance Occupations,Adaptation & Flexibility,navigation
Personal Care and Service Occupations,Equity & Inclusion,equity
Personal Care and Service Occupations,Equity & Inclusion,diversity
Personal Care and Service Occupations,Equity & Inclusion,inclusion
Personal Care and Service Occupations,Equity & Inclusion,access
Personal Care and Service Occupations,Equity & Inclusion,justice
Personal Care and Service Occupations,Equity & Inclusion,representation
Personal Care and Service Occupations,Equity & Inclusion,fairness
Personal Care and Service Occupations,Equity & Inclusion,belonging
Personal Care and Service Occupations,Equity & Inclusion,accessibility
Personal Care and Service Occupations,Equity & Inclusion,anti-bias
Personal Care and Service Occupations,Presence & Identity,presence
Personal Care and Service Occupations,Presence & Identity,voice
Personal Care and Service Occupations,Presence & Identity,visibility
Personal Care and Service Occupations,Presence & Identity,identity
Personal Care and Service Occupations,Presence & Identity,stance
Personal Care and Service Occupations,Presence & Identity,authenticity
Personal Care and Service Occupations,Presence & Identity,reputation
Personal Care and Service Occupations,Presence & Identity,persona
Personal Care and Service Occupations,Presence & Identity,recognition
Personal Care and Service Occupations,Presence & Identity,name
Personal Care and Service Occupations,Collaboration & Relational Work,teamwork
Personal Care and Service Occupations,Collaboration & Relational Work,collaboration
Personal Care and Service Occupations,Collaboration & Relational Work,relationship
Personal Care and Service Occupations,Collaboration & Relational Work,partnership
Personal Care and Service Occupations,Collaboration & Relational Work,network
Personal Care and Service Occupations,Collaboration & Relational Work,trust
Personal Care and Service Occupations,Collaboration & Relational Work,coordination
Personal Care and Service Occupations,Collaboration & Relational Work,shared goals
Personal Care and Service Occupations,Collaboration & Relational Work,communication
Personal Care and Service Occupations,Collaboration & Relational Work,support
Sales and Related Occupations,Communication Strategy,signal
Sales and Related Occupations,Communication Strategy,transmit
Sales and Related Occupations,Communication Strategy,encode
Sales and Related Occupations,Communication Strategy,resonance
Sales and Related Occupations,Communication Strategy,map
Sales and Related Occupations,Communication Strategy,message
Sales and Related Occupations,Communication Strategy,tone
Sales and Related Occupations,Communication Strategy,framing
Sales and Related Occupations,Communication Strategy,narrative
Sales and Related Occupations,Communication Strategy,audience
Sales and Related Occupations,Outcomes & Impact,impact
Sales and Related Occupations,Outcomes & Impact,result
Sales and Related Occupations,Outcomes & Impact,deliverable
Sales and Related Occupations,Outcomes & Impact,transformation
Sales and Related Occupations,Outcomes & Impact,metric
Sales and Related Occupations,Outcomes & Impact,value
Sales and Related Occupations,Outcomes & Impact,evidence of change
Sales and Related Occupations,Outcomes & Impact,ROI
Sales and Related Occupations,Outcomes & Impact,growth
Sales and Related Occupations,Outcomes & Impact,effectiveness
Sales and Related Occupations,Presence & Identity,presence
Sales and Related Occupations,Presence & Identity,voice
Sales and Related Occupations,Presence & Identity,visibility
Sales and Related Occupations,Presence & Identity,identity
Sales and Related Occupations,Presence & Identity,stance
Sales and Related Occupations,Presence & Identity,authenticity
Sales and Related Occupations,Presence & Identity,reputation
Sales and Related Occupations,Presence & Identity,persona
Sales and Related Occupations,Presence & Identity,recognition
Sales and Related Occupations,Presence & Identity,name
Office and Administrative Support Occupations,Systems & Structure,workflow
Office and Administrative Support Occupations,Systems & Structure,process
Office and Administrative Support Occupations,Systems & Structure,infrastructure
Office and Administrative Support Occupations,Systems & Structure,architecture
Office and Administrative Support Occupations,Systems & Structure,governance
Office and Administrative Support Occupations,Systems & Structure,standards
Office and Administrative Support Occupations,Systems & Structure,interoperability
Office and Administrative Support Occupations,Systems & Structure,system design
Office and Administrative Support Occupations,Systems & Structure,platform
Office and Administrative Support Occupations,Systems & Structure,protocol
Office and Administrative Support Occupations,Communication Strategy,signal
Office and Administrative Support Occupations,Communication Strategy,transmit
Office and Administrative Support Occupations,Communication Strategy,encode
Office and Administrative Support Occupations,Communication Strategy,resonance
Office and Administrative Support Occupations,Communication Strategy,map
Office and Administrative Support Occupations,Communication Strategy,message
Office and Administrative Support Occupations,Communication Strategy,tone
Office and Administrative Support Occupations,Communication Strategy,framing
Office and Administrative Support Occupations,Communication Strategy,narrative
Office and Administrative Support Occupations,Communication Strategy,audience
Office and Administrative Support Occupations,Risk & Compliance,risk
Office and Administrative Support Occupations,Risk & Compliance,compliance
Office and Administrative Support Occupations,Risk & Compliance,regulation
Office and Administrative Support Occupations,Risk & Compliance,audit
Office and Administrative Support Occupations,Risk & Compliance,policy
Office and Administrative Support Occupations,Risk & Compliance,safety
Office and Administrative Support Occupations,Risk & Compliance,liability
Office and Administrative Support Occupations,Risk & Compliance,control
Office and Administrative Support Occupations,Risk & Compliance,protocol
Office and Administrative Support Occupations,Risk & Compliance,ethics
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,resilience
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,agility
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,change
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,pivot
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,adapt
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,flexibility
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,iteration
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,response
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,readiness
"Farming, Fishing, and Forestry Occupations",Adaptation & Flexibility,navigation
"Farming, Fishing, and Forestry Occupations",Systems & Structure,workflow
"Farming, Fishing, and Forestry Occupations",Systems & Structure,process
"Farming, Fishing, and Forestry Occupations",Systems & Structure,infrastructure
"Farming, Fishing, and Forestry Occupations",Systems & Structure,architecture
"Farming, Fishing, and Forestry Occupations",Systems & Structure,governance
"Farming, Fishing, and Forestry Occupations",Systems & Structure,standards
"Farming, Fishing, and Forestry Occupations",Systems & Structure,interoperability
"Farming, Fishing, and Forestry Occupations",Systems & Structure,system design
"Farming, Fishing, and Forestry Occupations",Systems & Structure,platform
"Farming, Fishing, and Forestry Occupations",Systems & Structure,protocol
Construction and Extraction Occupations,Systems & Structure,workflow
Construction and Extraction Occupations,Systems & Structure,process
Construction and Extraction Occupations,Systems & Structure,infrastructure
Construction and Extraction Occupations,Systems & Structure,architecture
Construction and Extraction Occupations,Systems & Structure,governance
Construction and Extraction Occupations,Systems & Structure,standards
Construction and Extraction Occupations,Systems & Structure,interoperability
Construction and Extraction Occupations,Systems & Structure,system design
Construction and Extraction Occupations,Systems & Structure,platform
Construction and Extraction Occupations,Systems & Structure,protocol
Construction and Extraction Occupations,Outcomes & Impact,impact
Construction and Extraction Occupations,Outcomes & Impact,result
